Title,Authors,Pubhouse,NewPrice,OldPrice,Discount 
Изучаем программирование на Python,Бэрри Пол,Эксмо : Мировой компьютерный бестселлер,1 496,2 302,35
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1 382,2 513,45
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1 765,3 209,45
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2 465,4 482,45
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1 919,3 489,45
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,"Карташов Борис Александрович, Козлов Олег Степанович, Шабаев Евгений Адимович",ДМК-Пресс,1 842,3 349,45
"Алгоритмы. Справочник с примерами на C, C++, Java и Python","Хайнеман Джордж, Поллис Гари, Селков Стэнли",Вильямс,2 958,5 378,45
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2 268,4 123,45
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3 378,6 141,45
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1 305,2 372,45
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс : Российский компьютерный бестселлер,995,1 530,35
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо : Мировой компьютерный бестселлер,1 983,3 050,35
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2 268,4 123,45
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1 074,1 953,45
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,997,1 813,45
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,845,1 537,45
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2 456,4 466,45
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1 995,3 628,45
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,7 392,13 440,45
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,5 224,9 498,45
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,691,1 256,45
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1 459,2 652,45
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2 958,5 378,45
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс : Мировой компьютерный бестселлер,784,1 206,35
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1 382,2 513,45
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1 525,2 772,45
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1 434,2 607,45
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,921,1 674,45
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс : Российский компьютерный бестселлер,692,1 064,35
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1 459,2 652,45
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1 074,1 953,45
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,997,1 813,45
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,997,1 813,45
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1 775,3 227,45
Java EE 7. Основы,Гупта Арун,Вильямс,887,1 613,45
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,887,1 613,45
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1 478,2 688,45
Microsoft Exchange Server 2013. Полное руководство,"Моримото Рэнд, Ноэл Майкл, Ярдени Гай",Вильямс,2 958,5 378,45
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1 478,2 688,45
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1 184,2 152,45
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,"Лонг Фрэд, Мохиндра Дхрув, Сикорд Роберт С.",Вильямс,789,1 435,45
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,296,539,45
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,493,896,45
C# 5.0 и платформа .NET 4.5 для профессионалов,"Глинн Джей, Нейгел Кристиан, Ивьен Билл",Диалектика,2 268,4 123,45
Python на практике,Саммерфилд Марк,ДМК-Пресс : Профессиональная серия программиста,1 228,2 233,45
Поисковая адаптация. Теория и практика,"Курейчик Виктор Михайлович, Лебедев Борис Константинович, Лебедев Олег Борисович",Физматлит : Информационные и компьютерные технологии,472,858,45
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1 157,2 103,45
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1 098,1 996,45
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1 220,2 218,45
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс : Для программистов,1 151,2 093,45
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1 367,2 485,45
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс : Теория программирования,1 228,2 233,45
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс : Классика программирования,997,1 813,45
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс : Прикладное программирование,1 228,2 233,45
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань : Учебники для вузов. Специальная литература,1 759,3 198,45
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,997,1 813,45
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс : Классика программирования,1 688,3 069,45
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,1 151,2 093,45
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс : Библиотека профессионала,768,1 397,45
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс,997,1 813,45
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,1 305,2 372,45
Семантический веб,"Антониоу Григорис, Грос Паул, Хоекстра Ринке",ДМК-Пресс,921,1 674,45
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1 688,3 069,45
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс : Профессиональное программирование,1 688,3 069,45
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс,639,1 162,45
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,1 382,2 513,45
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер : Head First (O'Reilly),2 735,3 506,22
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс : Профессиональная серия программиста,2 149,3 908,45
Программирование на Objective-C,Кочан Стивен,Эком : Библиотека разработчика,1 537,2 794,45
Изучаем Spark,"Карау Холден, Конвински Энди, Венделл Патрик",ДМК-Пресс,1 305,2 372,45
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1 536,2 793,45
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1 305,2 372,45
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1 995,3 628,45
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1 151,2 093,45
Программирование в Clojure. Практика применения Lisp в мире Java,"Эмерик Чаз, Карпер Брайан, Гранд Кристоф",ДМК-Пресс : Функциональное программирование,2 610,4 746,45
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,845,1 536,45
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс : Функциональное программирование,613,1 115,45
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,1 842,3 349,45
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс : Программируемые системы,1 536,2 793,45
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,Корона-Принт,774,1 408,45
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1 382,2 513,45
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1 101,2 001,45
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1 228,2 233,45
Введение в UML от создателей языка,"Рамбо Джеймс, Якобсон Ивар, Буч Гради",ДМК-Пресс : Классика программирования,1 382,2 513,45
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс : Библиотека профессионала,406,739,45
EJB 3 в действии,"Панда Дебу, Рахман Реза, Купрак Райан",ДМК-Пресс : Программирование в действии,1 536,2 793,45
Программирование для AutoCAD 2013-2015,Полещук Николай Николаевич,ДМК-Пресс : САПР от А до Я,845,1 536,45
"Обработка неструктурированных текстов. Поиск, организация и манипулирование","Ингерсолл Грант С., Иортон Томас С., Фэррис Эндрю Л.",ДМК-Пресс : Программирование в действии,1 151,2 093,45
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1 305,2 372,45
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,537,976,45
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1 536,2 793,45
Методы обработки и распознавания изображений лиц в задачах биометрии,"Кухарев Георгий Александрович, Каменская Екатерина Ивановна, Матвеев Юрий Николаевич",Политехника,1 257,Нет старой цены,Ошибка
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,601,Нет старой цены,Ошибка
Введение в программирование. Учебное пособие,Волкова Татьяна Ивановна,Директмедиа Паблишинг,518,941,45
NeoBook. Практикум по быстрому программированию с нуля,Лёвкин Вадим Евгеньевич,Директмедиа Паблишинг,650,1 181,45
Ruby для романтиков. Самая простая книга по Ruby с заданиями,Пушкин Роман,ДМК-Пресс,1 995,3 628,45
Разработка веб-приложений с Quarkus и React,Марк Нури Сан Феликс,ДМК-Пресс,2 149,3 908,45
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань : Компьютеры и программное обеспечение,609,1 107,45
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие,"Заяц Анатолий Моисеевич, Логачев Алексей Андреевич",Лань : Компьютеры и программное обеспечение,2 719,4 943,45
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,Лань : Компьютеры и программное обеспечение,1 236,2 247,45
Программирование микропроцессорных систем на языке С-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань : Компьютеры и программное обеспечение,1 075,1 954,45
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для вузов,Микушин Александр Владимирович,Лань : Компьютеры и программное обеспечение,443,806,45
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань : Компьютеры и программное обеспечение,385,700,45
Математическая теория игр и приложения. Учебное пособие для вузов,Мазалов Владимир Викторович,Лань : Математика,2 503,4 550,45
Кодер с улицы. Правила нарушать рекомендуется,Капаноглу Седат,Питер : Библиотека программиста,1 972,2 528,22
"Тайная жизнь программ. Как создать код, который понравится вашему компьютеру",Стейнхардт Пол,Питер : Для профессионалов,3 333,4 273,22
Readme. Суровые реалии разработчиков,"Риккомини Крис, Рябой Дмитрий",Питер : Библиотека программиста,1 915,2 455,22
Алгоритмы. С примерами на Python,Хайнеман Джордж,Питер : Бестселлеры O`Reilly,1 518,1 946,22
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань : Компьютеры и программное обеспечение,798,1 450,45
Информационные технологии в инженерных расчетах. SMath и Python. Учебное пособие,"Очков Валерий Федорович, Орлов Константин Александрович, Чудова Юлия Владимировна",Лань : Компьютеры и программное обеспечение,2 669,4 852,45
Языки программирования. Python. Решение сложных задач. Учебное пособие для вузов,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань : Компьютеры и программное обеспечение,1 674,3 044,45
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань : Компьютеры и программное обеспечение,1 456,2 648,45
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М : Высшее образование,1 963,Нет старой цены,Ошибка
Практикум по программированию на PascalABC.NET,Савина Елена Владимировна,Директмедиа Паблишинг,479,870,45
React. Быстрый старт,Стефанов Стоян,Питер : Бестселлеры O`Reilly,2 528,Нет старой цены,Ошибка
"Роберт Мартин рекомендует. Код, который умещается в голове. Эвристики для разработчиков",Симан Марк,Питер : Библиотека программиста,2 891,Нет старой цены,Ошибка
Python за 7 дней. Краткий курс для начинающих,Парк Эндрю,Питер : Библиотека программиста,1 122,1 438,22
Трехмерное глубокое обучение на Python,"Ма Ксудонг, Хегде Вишах, Йольан Лилит",ДМК-Пресс,1 995,3 628,45
Интеллектуальные обучающие системы на основе интегрированных экспертных систем,Рыбина Галина Валентиновна,Директмедиа Паблишинг,498,905,45
"Программирование, тестирование, проектирование, нейросети, технологии аппаратно-программных средств","Веретехина С. В., Кармицкий К. С., Лукашин Д. Д.",Директмедиа Паблишинг,528,960,45
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях,Шипилов Игорь Викторович,Наш круг,1 339,2 435,45
GPT-3. Руководство по использованию API Open AI,"Кублик Сандра, Сабу Шубхан",ДМК-Пресс,1 228,2 233,45
Проектирование информационно-библиотечных систем. Учебник,Рахматуллаев Марат Алимович,ИНФРА-М : Высшее образование,3 576,Нет старой цены,Ошибка
Docker Compose для разработчика,Гадзурас Эммануил,ДМК-Пресс,1 842,3 349,45
Безопасность ASP. NET Core,Венц Кристиан,ДМК-Пресс,2 687,4 885,45
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,"Пылов Петр Андреевич, Дягилева Анна Владимировна, Майтак Роман Вячеславович",Инфра-Инженерия,952,1 730,45
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер : Бестселлеры O`Reilly,2 181,Нет старой цены,Ошибка
"Фундаментальный подход к программной архитектуре. Паттерны, свойства, проверенные методы","Ричардс Марк, Форд Нил",Питер : Для профессионалов,2 565,3 206,20
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,592,1 076,45
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,"Розема Мишель, Влотман Хенк",ДМК-Пресс,2 687,4 885,45
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,ДМК-Пресс,3 838,6 979,45
Введение в автоматизированное машинное обучение (AutoML),"Хуттер Франк, Коттхофф Ларс, Ваншорен Хоакин",ДМК-Пресс,2 303,4 187,45
Java. Руководство для начинающих,Шилдт Герберт,Вильямс,2 958,5 378,45
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера : Мир программирования,399,725,45
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера : Мир программирования,251,456,45
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера : Мир цифровой обработки,212,386,45
Цифровая обработка изображений,"Гонсалес Рафаэл С., Вудс Ричард Е.",Техносфера : Мир цифровой обработки,1 001,1 820,45
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера : Мир цифровой обработки,1 232,2 240,45
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера : Мир цифровой обработки,751,1 366,45
Основы теории цифровой обработки сигналов. Учебное пособие,Умняшкин Сергей Владимирович,Техносфера : Мир цифровой обработки,708,1 288,45
JavaScript с нуля до профи,"Свекис Лоренс Ларс, Персиваль Роб, Ван Путтен Майке",Питер : Библиотека программиста,2 268,2 908,22
Python для финансистов,Хилпиш Ив,Питер : Бестселлеры O`Reilly,2 637,Нет старой цены,Ошибка
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора : Мировой компьютерный бестселлер,1 772,2 427,27
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,2 022,3 676,45
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 759,3 198,45
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань : Компьютеры и программное обеспечение,1 256,2 283,45
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань : Компьютеры и программное обеспечение,1 092,1 986,45
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань : Компьютеры и программное обеспечение,907,1 649,45
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань : Компьютеры и программное обеспечение,789,1 434,45
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань : Компьютеры и программное обеспечение,1 069,1 943,45
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань : Компьютеры и программное обеспечение,930,1 691,45
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань : Компьютеры и программное обеспечение,542,986,45
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант : Профессиональное образование,2 189,Нет старой цены,Ошибка
ELIXIR в действии,Юрич Саша,ДМК-Пресс,2 303,4 187,45
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1 536,2 793,45
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М : Высшее образование. Бакалавриат,3 856,Нет старой цены,Ошибка
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо : Мировой компьютерный бестселлер,1 658,2 551,35
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1 842,3 349,45
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1 382,2 513,45
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум : Среднее профессиональное образование,2 715,Нет старой цены,Ошибка
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум : Среднее профессиональное образование,2 393,Нет старой цены,Ошибка
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1 228,2 233,45
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1 228,2 233,45
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1 842,3 349,45
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1 995,3 628,45
SQL для чайников,Тейлор Аллен Дж.,"Диалектика : Для ""чайников""",1 775,3 227,45
Введение в архитектуру программного обеспечения. Учебное пособие,"Гагарина Лариса Геннадьевна, Федоров Алексей Роальдович, Федоров Петр Алексеевич",Форум : Среднее профессиональное образование,3 952,Нет старой цены,Ошибка
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер : Библиотека программиста,1 248,1 600,22
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2 456,4 466,45
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,613,1 115,45
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1 765,3 209,45
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань : Учебники для вузов. Специальная литература,424,770,45
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань : Учебники для вузов. Специальная литература,499,908,45
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М : Среднее профессиональное образование,5 645,Нет старой цены,Ошибка
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс : Библиотека профессионала,1 367,2 486,45
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,Не указан автор,Солон-пресс : Библиотека студента,282,513,45
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,Не указан автор,Солон-пресс : Библиотека студента,410,745,45
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,Не указан автор,Солон-пресс : Библиотека студента,179,326,45
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,Не указан автор,Солон-пресс : Библиотека студента,410,745,45
Компьютерный анализ четырехполюсников с помощью MATLAB,Не указан автор,Солон-пресс : Библиотека студента,589,1 070,45
Компьютерный анализ четырехполюсников с помощью MATLAB,Не указан автор,Солон-пресс : Библиотека студента,245,446,45
Компьютерный спектральный анализ сигналов с помощью MATLAB,Не указан автор,Солон-пресс : Библиотека студента,564,1 025,45
Компьютерный спектральный анализ сигналов с помощью MATLAB,Не указан автор,Солон-пресс : Библиотека студента,230,419,45
VHDL. Справочное пособие по основам языка,"Бабак В. П., Филоненко С. Ф., Корченко А. Г.",ДМК-Пресс : Программируемые системы,1 074,1 953,45
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,"Немцова Тамара Игоревна, Голова Светлана Юрьевна, Абрамова Ирина Владимировна",Форум : Высшее образование: Бакалавриат,4 543,Нет старой цены,Ошибка
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань : Учебники для вузов. Специальная литература,2 638,4 796,45
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань : Учебники для вузов. Специальная литература,1 729,3 143,45
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3 071,5 583,45
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР : Наука и практика,4 113,Нет старой цены,Ошибка
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань : Учебники для вузов. Специальная литература,1 639,2 980,45
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань : Учебники для вузов. Специальная литература,2 200,4 000,45
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер : Библиотека программиста,1 338,1 716,22
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2 456,4 466,45
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2 456,4 466,45
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2 958,5 378,45
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт : Учебное пособие,309,562,45
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1 995,3 628,45
Изучаем Python. Том 1,Лутц Марк,Диалектика,3 746,6 810,45
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4 436,8 066,45
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1 612,2 930,45
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1 382,2 513,45
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань : Учебники для вузов. Специальная литература,1 104,2 008,45
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер : Библиотека программиста,1 206,1 546,22
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум : Среднее профессиональное образование,3 159,Нет старой цены,Ошибка
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,Не указан автор,Солон-пресс : Библиотека студента,282,513,45
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,Не указан автор,Солон-пресс : Библиотека студента,564,1 025,45
Программирование. Сборник задач. Учебное пособие,"Архипов Олег Григорьевич, Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань : Учебники для вузов. Специальная литература,1 938,3 524,45
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2 764,5 026,45
Грокаем глубокое обучение,Траск Эндрю,Питер : Библиотека программиста,1 545,Нет старой цены,Ошибка
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2 610,4 746,45
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,2 303,4 187,45
