Title,Authors,Pubhouse,NewPrice,OldPrice,Discount
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо : Мировой компьютерный бестселлер,1 496,2 302,35
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С : 1С: Предприятие 8.2,191,347,45
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С : 1С: Предприятие 8.2,185,336,45
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт,228,414,45
Руководство разработчика по Microsoft Enterprise Library,"Хоумер Алекс, Ботто Николас, Мельник Григорий",Эком,516,938,45
Groovy и Grails. Практические советы,Абдул-Джавад Башар,ДМК-Пресс,2 559,4 652,45
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век,1 382,2 513,45
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс,460,837,45
Численные методы безусловной оптимизации,Не указан автор,Инфра-Инженерия,1 222,2 221,45
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,1 074,1 953,45
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер : Библиотека программиста,2 430,3 116,22
Карьера программиста,Лакман Макдауэлл Гейл,Питер : Библиотека программиста,2 127,2 727,22
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер : Бестселлеры O`Reilly,2 901,3 719,22
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань : Компьютеры и программное обеспечение,1 210,2 200,45
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань : Компьютеры и программное обеспечение,3 397,6 176,45
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань : Компьютеры и программное обеспечение,2 308,4 196,45
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1 119,1 399,20
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер : Для профессионалов,2 214,2 839,22
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,3 071,5 583,45
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1 995,3 628,45
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус : Магистратура,1 005,1 828,45
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1 842,3 349,45
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4 436,8 066,45
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань : Компьютеры и программное обеспечение,1 101,2 001,45
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань : Компьютеры и программное обеспечение,1 173,2 133,45
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань : Компьютеры и программное обеспечение,1 445,2 628,45
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань : Компьютеры и программное обеспечение,2 246,4 083,45
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань : Компьютеры и программное обеспечение,1 890,3 436,45
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,"Кудинов Юрий Иванович, Пащенко Федор Федорович, Пащенко Александр Федорович",Лань : Компьютеры и программное обеспечение,2 041,3 710,45
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер : Библиотека программиста,2 116,2 713,22
Система модулей Java,Парлог Николай,Питер : Для профессионалов,2 558,3 279,22
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер : Для профессионалов,5 460,7 000,22
Принципы юнит-тестирования,Хориков Владимир,Питер : Для профессионалов,1 413,1 811,22
Простой Python. Современный стиль программирования,Любанович Билл,Питер : Бестселлеры O`Reilly,2 619,Нет старой цены,Ошибка
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1 536,2 793,45
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1 612,2 930,45
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус : Бакалавриат,1 118,2 032,45
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань : Компьютеры и программное обеспечение,1 023,1 860,45
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань : Компьютеры и программное обеспечение,475,864,45
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань : Компьютеры и программное обеспечение,658,1 196,45
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2 918,5 306,45
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань : Компьютеры и программное обеспечение,3 940,7 164,45
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович, Тындыкарь Любовь Николаевна",Лань : Компьютеры и программное обеспечение,1 616,2 938,45
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М : Среднее профессиональное образование,3 925,Нет старой цены,Ошибка
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1 688,3 069,45
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М : Среднее профессиональное образование,3 092,Нет старой цены,Ошибка
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М : Среднее профессиональное образование,3 710,Нет старой цены,Ошибка
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань : Компьютеры и программное обеспечение,2 141,3 892,45
Создание сайтов на основе WordPress. Учебное пособие для СПО,Сергеев Алексей Николаевич,Лань : Компьютеры и программное обеспечение,842,1 530,45
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем","Мицуфуджи Акио, Хардинг Алан С., Мозер Брайан",ДМК-Пресс,2 303,4 187,45
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1 688,3 069,45
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань : Компьютеры и программное обеспечение,2 443,4 442,45
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович, Иванищев Алексей Вячеславович",Лань : Компьютеры и программное обеспечение,2 746,4 993,45
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум : Высшее образование: Бакалавриат,4 328,Нет старой цены,Ошибка
